,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,NY.GDP.PCAP.PP.KD
United Kingdom,6.9,3.4,10.4,58.0,78.5,115.0,157.0,193.5,185.0,192.0,183.5,139.0,109.0,72.0,49.0,1530.0,46406.4617483484
United States,14.5,6.8,22.4,166.2574074074074,176.73703703703703,230.11481481481482,257.9462962962963,292.3240740740741,306.72962962962964,317.012962962963,292.1074074074074,249.0462962962963,224.1888888888889,164.9351851851852,150.21851851851852,2827.6185185185186,62630.8732765742
Upper middle income,,,,,,,,,,,,,,,,,17440.3394443599
Uruguay,18.8,7.7,31.1,294.9,230.6,222.8,179.6,164.2,129.7,139.7,164.4,182.3,239.0,248.9,285.3,2481.4,23032.7340435597
Uzbekistan,8.3,4.9,11.8,117.8,127.1,164.3,216.0,303.8,363.0,384.4,365.8,300.0,226.3,150.0,105.4,2823.9,7014.32469877717
Vanuatu,,,,,,,,,,,,,,,,,3117.67883228873
Venezuela,2.1,0.7,3.7,259.1333333333333,243.9,261.7,224.66666666666666,217.4,212.33333333333334,248.1,248.0,245.83333333333334,251.4,239.0,243.9333333333333,2895.2999999999997,
Vietnam,7.2,4.2,10.6,178.25,168.0,190.5,185.0,203.5,182.25,196.25,175.0,161.75,158.5,157.25,167.0,2123.5,8041.17838409676
West Bank and Gaza,,,,,,,,,,,,,,,,,6245.44869712345
World,,,,,,,,,,,,,,,,,16915.2878461495
Zambia,14.4,5.3,25.7,180.83333333333334,168.93333333333334,221.13333333333333,254.0,286.23333333333335,278.0,300.7,306.90000000000003,289.0,273.8333333333333,223.0,182.9,2965.4666666666667,3470.44802371756
Zimbabwe,23.6,13.5,37.8,230.95,201.60000000000002,241.8,250.5,274.35,265.5,283.65,300.7,291.0,279.0,234.0,212.35000000000002,3065.4,3027.65603782166
